Index,Month,Day,Year
0,4,2,1600
1,4,22,1601
2,4,7,1602
3,3,30,1603
4,4,18,1604
5,4,10,1605
6,3,26,1606
7,4,15,1607
8,4,6,1608
9,4,19,1609
10,4,11,1610
11,4,3,1611
12,4,22,1612
13,4,7,1613
14,3,30,1614
15,4,19,1615
16,4,3,1616
17,3,26,1617
18,4,15,1618
19,3,31,1619
20,4,19,1620
21,4,11,1621
22,3,27,1622
23,4,16,1623
24,4,7,1624
25,3,30,1625
26,4,12,1626
27,4,4,1627
28,4,23,1628
29,4,15,1629
30,3,31,1630
31,4,20,1631
32,4,11,1632
33,3,27,1633
34,4,16,1634
35,4,8,1635
36,3,23,1636
37,4,12,1637
38,4,4,1638
39,4,24,1639
40,4,8,1640
41,3,31,1641
42,4,20,1642
43,4,5,1643
44,3,27,1644
45,4,16,1645
46,4,1,1646
47,4,21,1647
48,4,12,1648
49,4,4,1649
50,4,17,1650
51,4,9,1651
52,3,31,1652
53,4,13,1653
54,4,5,1654
55,3,28,1655
56,4,16,1656
57,4,1,1657
58,4,21,1658
59,4,13,1659
60,3,28,1660
61,4,17,1661
62,4,9,1662
63,3,25,1663
64,4,13,1664
65,4,5,1665
66,4,25,1666
67,4,10,1667
68,4,1,1668
69,4,21,1669
70,4,6,1670
71,3,29,1671
72,4,17,1672
73,4,2,1673
74,3,25,1674
75,4,14,1675
76,4,5,1676
77,4,18,1677
78,4,10,1678
79,4,2,1679
80,4,21,1680
81,4,6,1681
82,3,29,1682
83,4,18,1683
84,4,2,1684
85,4,22,1685
86,4,14,1686
87,3,30,1687
88,4,18,1688
89,4,10,1689
90,3,26,1690
91,4,15,1691
92,4,6,1692
93,3,22,1693
94,4,11,1694
95,4,3,1695
96,4,22,1696
97,4,7,1697
98,3,30,1698
99,4,19,1699
100,4,11,1700
101,3,27,1701
102,4,16,1702
103,4,8,1703
104,3,23,1704
105,4,12,1705
106,4,4,1706
107,4,24,1707
108,4,8,1708
109,3,31,1709
110,4,20,1710
111,4,5,1711
112,3,27,1712
113,4,16,1713
114,4,1,1714
115,4,21,1715
116,4,12,1716
117,3,28,1717
118,4,17,1718
119,4,9,1719
120,3,31,1720
121,4,13,1721
122,4,5,1722
123,3,28,1723
124,4,16,1724
125,4,1,1725
126,4,21,1726
127,4,13,1727
128,3,28,1728
129,4,17,1729
130,4,9,1730
131,3,25,1731
132,4,13,1732
133,4,5,1733
134,4,25,1734
135,4,10,1735
136,4,1,1736
137,4,21,1737
138,4,6,1738
139,3,29,1739
140,4,17,1740
141,4,2,1741
142,3,25,1742
143,4,14,1743
144,4,5,1744
145,4,18,1745
146,4,10,1746
147,4,2,1747
148,4,14,1748
149,4,6,1749
150,3,29,1750
151,4,11,1751
152,4,2,1752
153,4,22,1753
154,4,14,1754
155,3,30,1755
156,4,18,1756
157,4,10,1757
158,3,26,1758
159,4,15,1759
160,4,6,1760
161,3,22,1761
162,4,11,1762
163,4,3,1763
164,4,22,1764
165,4,7,1765
166,3,30,1766
167,4,19,1767
168,4,3,1768
169,3,26,1769
170,4,15,1770
171,3,31,1771
172,4,19,1772
173,4,11,1773
174,4,3,1774
175,4,16,1775
176,4,7,1776
177,3,30,1777
178,4,19,1778
179,4,4,1779
180,3,26,1780
181,4,15,1781
182,3,31,1782
183,4,20,1783
184,4,11,1784
185,3,27,1785
186,4,16,1786
187,4,8,1787
188,3,23,1788
189,4,12,1789
190,4,4,1790
191,4,24,1791
192,4,8,1792
193,3,31,1793
194,4,20,1794
195,4,5,1795
196,3,27,1796
197,4,16,1797
198,4,8,1798
199,3,24,1799
200,4,13,1800
201,4,5,1801
202,4,18,1802
203,4,10,1803
204,4,1,1804
205,4,14,1805
206,4,6,1806
207,3,29,1807
208,4,17,1808
209,4,2,1809
210,4,22,1810
211,4,14,1811
212,3,29,1812
213,4,18,1813
214,4,10,1814
215,3,26,1815
216,4,14,1816
217,4,6,1817
218,3,22,1818
219,4,11,1819
220,4,2,1820
221,4,22,1821
222,4,7,1822
223,3,30,1823
224,4,18,1824
225,4,3,1825
226,3,26,1826
227,4,15,1827
228,4,6,1828
229,4,19,1829
230,4,11,1830
231,4,3,1831
232,4,22,1832
233,4,7,1833
234,3,30,1834
235,4,19,1835
236,4,3,1836
237,3,26,1837
238,4,15,1838
239,3,31,1839
240,4,19,1840
241,4,11,1841
242,3,27,1842
243,4,16,1843
244,4,7,1844
245,3,23,1845
246,4,12,1846
247,4,4,1847
248,4,23,1848
249,4,8,1849
250,3,31,1850
251,4,20,1851
252,4,11,1852
253,3,27,1853
254,4,16,1854
255,4,8,1855
256,3,23,1856
257,4,12,1857
258,4,4,1858
259,4,24,1859
260,4,8,1860
261,3,31,1861
262,4,20,1862
263,4,5,1863
264,3,27,1864
265,4,16,1865
266,4,1,1866
267,4,21,1867
268,4,12,1868
269,3,28,1869
270,4,17,1870
271,4,9,1871
272,3,31,1872
273,4,13,1873
274,4,5,1874
275,3,28,1875
276,4,16,1876
277,4,1,1877
278,4,21,1878
279,4,13,1879
280,3,28,1880
281,4,17,1881
282,4,9,1882
283,3,25,1883
284,4,13,1884
285,4,5,1885
286,4,25,1886
287,4,10,1887
288,4,1,1888
289,4,21,1889
290,4,6,1890
291,3,29,1891
292,4,17,1892
293,4,2,1893
294,3,25,1894
295,4,14,1895
296,4,5,1896
297,4,18,1897
298,4,10,1898
299,4,2,1899
300,4,15,1900
301,4,7,1901
302,3,30,1902
303,4,12,1903
304,4,3,1904
305,4,23,1905
306,4,15,1906
307,3,31,1907
308,4,19,1908
309,4,11,1909
310,3,27,1910
311,4,16,1911
312,4,7,1912
313,3,23,1913
314,4,12,1914
315,4,4,1915
316,4,23,1916
317,4,8,1917
318,3,31,1918
319,4,20,1919
320,4,4,1920
321,3,27,1921
322,4,16,1922
323,4,1,1923
324,4,20,1924
325,4,12,1925
326,4,4,1926
327,4,17,1927
328,4,8,1928
329,3,31,1929
330,4,20,1930
331,4,5,1931
332,3,27,1932
333,4,16,1933
334,4,1,1934
335,4,21,1935
336,4,12,1936
337,3,28,1937
338,4,17,1938
339,4,9,1939
340,3,24,1940
341,4,13,1941
342,4,5,1942
343,4,25,1943
344,4,9,1944
345,4,1,1945
346,4,21,1946
347,4,6,1947
348,3,28,1948
349,4,17,1949
350,4,9,1950
351,3,25,1951
352,4,13,1952
353,4,5,1953
354,4,18,1954
355,4,10,1955
356,4,1,1956
357,4,21,1957
358,4,6,1958
359,3,29,1959
360,4,17,1960
361,4,2,1961
362,4,22,1962
363,4,14,1963
364,3,29,1964
365,4,18,1965
366,4,10,1966
367,3,26,1967
368,4,14,1968
369,4,6,1969
370,3,29,1970
371,4,11,1971
372,4,2,1972
373,4,22,1973
374,4,14,1974
375,3,30,1975
376,4,18,1976
377,4,10,1977
378,3,26,1978
379,4,15,1979
380,4,6,1980
381,4,19,1981
382,4,11,1982
383,4,3,1983
384,4,22,1984
385,4,7,1985
386,3,30,1986
387,4,19,1987
388,4,3,1988
389,3,26,1989
390,4,15,1990
391,3,31,1991
392,4,19,1992
393,4,11,1993
394,4,3,1994
395,4,16,1995
396,4,7,1996
397,3,30,1997
398,4,12,1998
399,4,4,1999
400,4,23,2000
401,4,15,2001
402,3,31,2002
403,4,20,2003
404,4,11,2004
405,3,27,2005
406,4,16,2006
407,4,8,2007
408,3,23,2008
409,4,12,2009
410,4,4,2010
411,4,24,2011
412,4,8,2012
413,3,31,2013
414,4,20,2014
415,4,5,2015
416,3,27,2016
417,4,16,2017
418,4,1,2018
419,4,21,2019
420,4,12,2020
421,4,4,2021
422,4,17,2022
423,4,9,2023
424,3,31,2024
425,4,20,2025
426,4,5,2026
427,3,28,2027
428,4,16,2028
429,4,1,2029
430,4,21,2030
431,4,13,2031
432,3,28,2032
433,4,17,2033
434,4,9,2034
435,3,25,2035
436,4,13,2036
437,4,5,2037
438,4,25,2038
439,4,10,2039
440,4,1,2040
441,4,21,2041
442,4,6,2042
443,3,29,2043
444,4,17,2044
445,4,9,2045
446,3,25,2046
447,4,14,2047
448,4,5,2048
449,4,18,2049
450,4,10,2050
451,4,2,2051
452,4,21,2052
453,4,6,2053
454,3,29,2054
455,4,18,2055
456,4,2,2056
457,4,22,2057
458,4,14,2058
459,3,30,2059
460,4,18,2060
461,4,10,2061
462,3,26,2062
463,4,15,2063
464,4,6,2064
465,3,29,2065
466,4,11,2066
467,4,3,2067
468,4,22,2068
469,4,14,2069
470,3,30,2070
471,4,19,2071
472,4,10,2072
473,3,26,2073
474,4,15,2074
475,4,7,2075
476,4,19,2076
477,4,11,2077
478,4,3,2078
479,4,23,2079
480,4,7,2080
481,3,30,2081
482,4,19,2082
483,4,4,2083
484,3,26,2084
485,4,15,2085
486,3,31,2086
487,4,20,2087
488,4,11,2088
489,4,3,2089
490,4,16,2090
491,4,8,2091
492,3,30,2092
493,4,12,2093
494,4,4,2094
495,4,24,2095
496,4,15,2096
497,3,31,2097
498,4,20,2098
499,4,12,2099
